Acourtia carpholepis;Mutisioideae;;;54;;;
Acourtia cordata;Mutisioideae;;;54;;;
Acourtia coulteri;Mutisioideae;;;;;1.09;
Acourtia dissiticeps;Mutisioideae;;;;;1.46;
Acourtia dugesii;Mutisioideae;;;;;1.80;
Acourtia fruticosa;Mutisioideae;;;52;;;
Acourtia hondurana;Mutisioideae;;;36;;;
Acourtia microcephala;Mutisioideae;;;54;;1.12;
Acourtia nana;Mutisioideae;;;54;;;
Acourtia nudicaulis;Mutisioideae;;;56;;;
Acourtia oxylepis;Mutisioideae;;;;;1.95;
Acourtia parryi;Mutisioideae;;;;;0.23;
Acourtia runcinata;Mutisioideae;;;54;;;
Acourtia scapiformis;Mutisioideae;;;54;;;
Acourtia thurberi;Mutisioideae;;;54;;0.25;
Acourtia wrightii;Mutisioideae;;;54;;1.35;
Adenocaulon bicolor;Mutisioideae;;;46;;5.54;
Adenocaulon chilense;Mutisioideae;;;46;;5.11;
Adenocaulon himalaicum;Mutisioideae;;;46;;;
Adenocaulon lyratum;Mutisioideae;;;46;;;
Adenostyles alliariae;Asteroideae;16.18;39.68;38;416.40;1.26;
Aetheolaena decipiens;Asteroideae;16.13;;40;394.45;;
Aetheolaena involucrata;Asteroideae;15.66;;40;382.94;;
Aetheolaena lingulata;Asteroideae;15.10;;40;369.22;;
Aetheolaena otophora;Asteroideae;16.13;;40;394.45;;
Aetheolaena patens;Asteroideae;17.31;;40;423.12;;
Aetheolaena pichinchensis;Asteroideae;15.05;;40;367.99;;
Aetheorhiza bulbosa;Cichorioideae;1.33;;18;72.39;;
Afrocarduus afromontanus;Carduoideae-Cardueae-Carduinae;;;32;;;
Afrocarduus keniensis;Carduoideae-Cardueae-Carduinae;;;34;;2.49;
Afrocarduus nyassanus;Carduoideae-Cardueae-Carduinae;;;34;;;
Afrocarduus schimperi;Carduoideae-Cardueae-Carduinae;;;32;;14.77;
Afrocarduus silvarum;Carduoideae-Cardueae-Carduinae;;;;;5.37;
Ageratina altissima;Asteroideae;2.20;;34;63.41;0.17;
Ageratina havanensis;Asteroideae;4.10;;34;117.94;0.26;
Agoseris glauca;Cichorioideae;7.01;;18;381.11;1.53;
Agoseris grandiflora;Cichorioideae;4.01;;18;217.78;1.23;
Agoseris heterophylla;Cichorioideae;2.20;;18;119.78;0.73;
Agoseris retrorsa;Cichorioideae;6.41;;18;348.44;1.84;
Achillea abrotanoides;Asteroideae;5.61;;18;304.89;;
Achillea ageratifolia;Asteroideae;5.81;;18;315.78;0.27;
Achillea ageratum;Asteroideae;6.47;;18;351.71;0.09;
Achillea alpina subsp. alpina;Asteroideae;10.22;;36;277.67;0.22;
Achillea arabica;Asteroideae;5.21;;18;283.11;0.12;
Achillea asiatica;Asteroideae;10.02;;36;272.22;;
Achillea aspleniifolia;Asteroideae;6.21;;18;337.56;0.11;
Achillea clavennae;Asteroideae;6.01;;18;326.67;0.45;
